1,Action,"Films axés sur l'action et les scènes dynamiques."
2,Comédie,"Films humoristiques conçus pour divertir et faire rire le public."
3,Drame,"Films axés sur le développement des personnages et les situations émotionnelles."
4,Science-fiction,"Films basés sur des concepts scientifiques et des avancées technologiques."
5,Horreur,"Films destinés à susciter la peur et l'anxiété chez le spectateur."
6,Romance,"Films centrés sur les relations amoureuses et les histoires romantiques."
7,Documentaire,"Films basés sur des faits réels et destinés à informer et éduquer."
8,Fantaisie,"Films présentant des mondes imaginaires et des éléments fantastiques."
9,Animation,"Films créés à l'aide d'animations, souvent destinés à un public plus jeune."
10,Thriller,"Films caractérisés par une tension intense et des rebondissements captivants."
11,Aventure,"Films mettant en scène des voyages audacieux et des quêtes épiques."
12,Mystère,"Films axés sur la résolution d'énigmes et les mystères non résolus."
13,Western,"Films se déroulant dans l'Ouest sauvage, mettant en avant le courage et la justice."
14,Comédie romantique,"Films qui combinent l'humour avec des éléments romantiques et sentimentaux."
15,Science-fiction dystopique,"Films se déroulant dans des futurs apocalyptiques ou dystopiques."
16,Action-aventure,"Films mêlant l'action à des éléments d'aventure et d'exploration."
17,Super-héros,"Films mettant en vedette des personnages dotés de pouvoirs extraordinaires."
18,Film de guerre,"Films se déroulant en temps de guerre, mettant en avant le courage des soldats."
19,Film musical,"Films où la musique et la danse jouent un rôle central dans l'histoire."
20,Horreur psychologique,"Films visant à perturber l'esprit du spectateur avec des éléments psychologiques."
21,Animation pour adultes,"Films d'animation destinés à un public mature, abordant des thèmes sérieux."
22,Thriller psychologique,"Films qui explorent les aspects sombres de la psyché humaine."
23,Comédie d'action,"Films qui mélangent des éléments d'action avec de l'humour."
24,Film biographique,"Films basés sur la vie de personnes réelles et de leurs accomplissements."
25,Film historique,"Films se déroulant dans des contextes historiques et évoquant des événements du passé."
26,Comédie noire,"Films humoristiques avec des thèmes sombres ou morbides."
27,Science-fiction spatiale,"Films se déroulant dans l'espace et explorant des concepts de voyage interstellaire."
28,Film policier,"Films centrés sur des enquêtes criminelles et des intrigues policières."
29,Film d'espionnage,"Films mettant en scène des agents secrets et des opérations d'espionnage."
30,Film fantastique,"Films présentant des mondes magiques et des créatures fantastiques."